?,Automated,Date,Date (Days),Date (ISO Week numbers),Downtime date,Downtime Reason,Employee,Employee Qualification,grey,KPI color,Maintenance date,Production Line,Split,Split (string),Split text,Summary visible,Target met,Tech issue date,Work Conditions,# Downtime days,% Availability OEE,% Availability OOE,% challenging,% Defect density,% Downtime Rate,% First Pass Yield (FPY),% Overall Equipment Effectiveness (OEE),% Overall Operations Effectiveness (OOE),% Production Attainment,% Target,% Target (KPI),Between downtime,Between maintenance,Between tech issues,Breaks dim,Breaks time,Color hub,Color hub (copy),Cost - defect Measure,Costs,Costs (copy),Defect Density KPI string,Defect density KPI vl,Defective Units,Difference from target,Difference from target (std),Difference from target Ms,Dim FPY,Dim Run Hours,Dim Throughput / hour,Downtime Hours,Downtime hours cost,Downtime hours TOTAL costs,Downtime time,DR KPI string,DR KPI vl,Good Units dim,Hub,Hub (label),Int iso weeks,KPI Point 1,KPI Point 2,KPI Point 3,KPI Point 4,KPI Point Hub,KPI Point Hub (upper),KPI Point volume,Maintenance time,Maintenance time dim,OEE KPI string,OEE KPI vl,Other issue time,Performance,Planned - downtime time,Planned time,Planned Units,Point -0.7,Point -1,Point -1 (blank),Point 1,Produced Units,Production Attainment KPI string,Production Attainment KPI vl,Production KPI string,Production KPI vl,Production volume,Production volume dim,Profit | good units,Profit | Max theoretical,Profit | net,Profit | net %,Raw Material Shortage time,Run time ([Planned time] - [Downtime time] - [Breaks time]),Scheduled time ([Planned time] - [Breaks] ),Scheduled time ([Planned time] - [Breaks] - [Maintenance time]),Scheduled time dim,Target met (reg),Target met (reg) KPI,Tech issue time,Tech issue time dim,Theoretical run rate,Throughput / hour,Wasted hours other reason dim
?,True,1/1/2023,"January 1, 2023",2022 W52,,Maintenance,Max Parker,5,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,1.1%,0%,99%,61%,54%,0%,-13%,87.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.850574713,1,-13,0,-13,0.988505747,,,,0,,0, better than target,3,86,87,87,44919,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,3.571428571,,0.621428571,8,8,100,Point,Point,Point,Point,87, worse than critical,40, worse than target,13,87,87,8600,14000,,,,7,7,7,,False,False,,,,12.428571429,0
?,True,1/2/2023,"January 2, 2023",2023 W1,,Maintenance,Zoe Martinez,3,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,0.9%,0%,99%,82%,72%,100%,+16.0%,116.0%,,,,1,1, better than target,( better than target ),80,,, better than target,2.137931034,1,16,0,16,0.991379310,,,,0,,0, better than target,3,115,116,116,44926,Point,Point,Point,Point,Point,Point,Point,0,, better than target,17.142857143,,0.828571429,8,8,100,Point,Point,Point,Point,116, better than target,40, better than target,16,116,116,11500,14000,,,,7,7,7,,True,True,,,,16.571428571,0
?,True,1/3/2023,"January 3, 2023",2023 W1,,Other,Owen Taylor,9,grey,color,,Line 1 (auto),Total,Total,,True,False,,Challenging,0,100%,88%,100%,1.2%,0%,99%,58%,51%,0%,-18%,82.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.780487805,1,-18,0,-18,0.987804878,,,,0,,0, better than target,3,81,82,82,44926,Point,Point,Point,Point,Point,Point,Point,0,, worse than target,7.142857143,,0.585714286,8,8,100,Point,Point,Point,Point,82, worse than critical,40, worse than target,18,82,82,8100,14000,,,,7,7,7,,False,False,,,,11.714285714,0
?,True,1/4/2023,"January 4, 2023",2023 W1,,Maintenance,Ivy Anderson,6,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,2.6%,0%,97%,81%,71%,100%,+16.0%,116.0%,,,,1,1, better than target,( better than target ),240,,, better than target,0.413793103,3,16,0,16,0.974137931,,,,0,,0, better than target,3,113,116,116,44926,Point,Point,Point,Point,Point,Point,Point,0,, better than target,15.714285714,,0.828571429,8,8,100,Point,Point,Point,Point,116, better than target,40, better than target,16,116,116,11300,14000,,,,7,7,7,,True,True,,,,16.571428571,0
?,True,1/5/2023,"January 5, 2023",2023 W1,,Tech Issue,Mia Smith,2,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,0.0%,0%,100%,69%,60%,0%,-04%,96.0%,,,,1,1, worse than target,( worse than target ),0,,, better than target,3,0,-4,0,-4,1,,,,0,,0, better than target,3,96,96,96,44926,Point,Point,Point,Point,Point,Point,Point,0,, better than target,3.571428571,,0.685714286,8,8,100,Point,Point,Point,Point,96, worse than critical,40, worse than target,4,96,96,9600,14000,,,,7,7,7,,False,False,,,,13.714285714,0
?,True,1/6/2023,"January 6, 2023",2023 W1,,Tech Issue,Owen Taylor,9,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,2.7%,0%,97%,78%,68%,100%,+12.0%,112.0%,,,,1,1, better than target,( better than target ),240,,, better than target,0.321428571,3,12,0,12,0.973214286,,,,0,,0, better than target,3,109,112,112,44926,Point,Point,Point,Point,Point,Point,Point,0,, better than target,12.857142857,,0.8,8,8,100,Point,Point,Point,Point,112, better than target,40, better than target,12,112,112,10900,14000,,,,7,7,7,,True,True,,,,16,0
?,True,1/7/2023,"January 7, 2023",2023 W1,,Maintenance,Leo Johnson,6,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,1.0%,0%,99%,69%,61%,0%,-02%,98.0%,,,,1,1, worse than target,( worse than target ),80,,, better than target,1.979591837,1,-2,0,-2,0.989795918,,,,0,,0, better than target,3,97,98,98,44926,Point,Point,Point,Point,Point,Point,Point,0,, better than target,4.285714286,,0.7,8,8,100,Point,Point,Point,Point,98, worse than critical,40, worse than target,2,98,98,9700,14000,,,,7,7,7,,False,False,,,,14,0
?,True,1/8/2023,"January 8, 2023",2023 W1,,Material Shortage,Ava White,4,grey,color,,Line 1 (auto),Total,Total,,True,True,,Normal,0,100%,88%,0%,0.9%,0%,99%,76%,66%,100%,+7.0%,107.0%,,,,1,1, better than target,( better than target ),80,,, better than target,2.065420561,1,7,0,7,0.990654206,,,,0,,0, better than target,3,106,107,107,44926,Point,Point,Point,Point,Point,Point,Point,0,, better than target,10.714285714,,0.764285714,8,8,100,Point,Point,Point,Point,107, better than target,40, better than target,7.000000000,107,107,10600,14000,,,,7,7,7,,True,True,,,,15.285714286,0
?,True,1/9/2023,"January 9, 2023",2023 W2,,Other,Ava White,3,grey,color,,Line 1 (auto),Total,Total,,True,True,,Challenging,0,100%,88%,100%,0.0%,0%,100%,78%,68%,100%,+9.0%,109.0%,,,,1,1, better than target,( better than target ),0,,, better than target,3,0,9,0,9,1,,,,0,,0, better than target,3,109,109,109,44933,Point,Point,Point,Point,Point,Point,Point,0,, better than target,12.857142857,,0.778571429,8,8,100,Point,Point,Point,Point,109, better than target,40, better than target,9.000000000,109,109,10900,14000,,,,7,7,7,,True,True,,,,15.571428571,0
?,True,1/10/2023,"January 10, 2023",2023 W2,,Tech Issue,Ivy Anderson,6,grey,color,,Line 1 (auto),Total,Total,,True,False,,Normal,0,100%,88%,0%,3.2%,0%,97%,65%,57%,0%,-06%,94.0%,,,,1,1, worse than target,( worse than target ),240,,, worse than target,0.191489362,3,-6,0,-6,0.968085106,,,,0,,0, better than target,3,91,94,94,44933,Point,Point,Point,Point,Point,Point,Point,0,, better than target,0,,0.671428571,8,8,100,Point,Point,Point,Point,94, worse than critical,40, worse than target,6.000000000,94,94,9100,14000,,,,7,7,7,,False,False,,,,13.428571429,0
